Label,Id,timeset,known,blockriccimaxmod,blockriccifinal,Degree,Weighted.Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Symbol,Full.Name,Gene_Name,Description,Gene_Family,AHD.2.0.hormone.annotations,GO.annotations,SideInfo_Update,SideInfo_Label,NodeAnno_Update,Plant.hormone.signal.transduction,Brassinosteroid.biosynthesis,Plant.pathogen.interaction,MAPK.signaling.pathway,Phosphatidylinositol.signaling.system,Basal.transcription.factors,Mismatch.repair,DNA.replication,Nucleotide.excision.repair,RNA.polymerase,Spliceosome,RNA.transport,RNA.degradation,Ribosome,Endocytosis,Protein.processing.in.endoplasmic.reticulum,Ubiquitin.mediated.proteolysis,Fructose.and.mannose.metabolism,Amino.sugar.and.nucleotide.sugar.metabolism,Biosynthesis.of.unsaturated.fatty.acids,alpha.Linolenic.acid.metabolism,Fatty.acid.degradation,Valine..leucine.and.isoleucine.degradation,Peroxisome,Cysteine.and.methionine.metabolism,Pyrimidine.metabolism,Purine.metabolism,Circadian.rhythm,Citrate.cycle,Pyruvate.metabolism,Glycolysis.Gluconeogenesis,Abscisic_acid,Auxin,Brassinosteroid,Cytokinin,Ethylene,Gibberellin,Jasmonic_acid,Salicylic_acid,Transcription_factor,Transporter,Stress,Abiotic_biotic_stimulus
AT1G26850,398,NA,0,11,15,3,3,10,0.226545,0.256776,186.693355,0.045919,0.045919,3,0.000223,0,0,0,0.112855,,,NA,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G26910,1739,NA,0,237,532,1,1,1,1,1,0,0,0,82,0.00038,69,0,0,0.000493,RIBOSOMAL PROTEIN L10 B (RPL10B),RIBOSOMAL PROTEIN L10 B (RPL10B),NA,Ribosomal protein L16p/L10e family protein;(source:Araport11),NA,NA,NA,Ribosomal,Ribosomal,Ribosomal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G26930,1181,NA,0,68,146,2,2,10,0.197085,0.207909,81.512977,1.10E-05,1.10E-05,47,0.000235,0,0,0,0.005158,,,NA,Galactose oxidase/kelch repeat superfamily protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27020,1028,NA,0,99,217,1,1,11,0.191762,0.200172,0,5.00E-06,5.00E-06,10,0.000135,0,0,0,0.001433,,,NA,plant/protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27030,2160,NA,0,34,58,1,1,10,0.196534,0.206489,0,4.00E-06,4.00E-06,44,0.000124,0,0,0,0.002043,,,NA,hypothetical protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27040,1912,NA,0,11,15,1,1,10,0.217565,0.242569,0,0.017268,0.017268,3,0.000115,0,0,0,0.043376,NRT1/ PTR FAMILY 4.5 (NPF4.5), (ATNPF4.5);NRT1/ PTR FAMILY 4.5 (NPF4.5),NULL,Major facilitator superfamily protein;(source:Araport11),Organic Solute Cotransporters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27210,913,NA,0,14,289,1,1,9,0.20474,0.213594,0,1.30E-05,1.30E-05,15,0.000137,0,0,0,0.002193,,,NA,ARM repeat superfamily protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27300,111,NA,0,11,36,112,112,10,0.249739,0.3003,70049.19221,0.247218,0.247218,3,0.006774,0,0.018822,117,0.606559,,,NA,transmembrane protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27360,468,NA,0,104,234,1,1,11,0.176879,0.183782,0,2.00E-06,2.00E-06,2,0.00016,0,0,0,0.00087,SQUAMOSA PROMOTER-LIKE 11 (SPL11),SQUAMOSA PROMOTER-LIKE 11 (SPL11),NA,"In conjunction with SPL10 and SPL2, SPL11 redundantly controls proper development of lateral organs in association with shoot maturation in the reproductive phase. SPL2, SPL10, and SPL11, suppress root regeneration with age by inhibiting wound-induced auxin biosynthesis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27450,1970,NA,0,228,521,2,2,2,0.75,0.833333,0,0,0,91,0.000311,64,1,1,0.001257,ADENINE PHOSPHORIBOSYL TRANSFERASE 1 (APT1),ADENINE PHOSPHORIBOSYL TRANSFERASE 1 (APT1),NULL,"Adenosine phosphoribosyl transferase(E.C:2.4.2.7), involved in the one-step salvage of adenine to AMP.",Miscellaneous Membrane Protein Families,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27690,1558,NA,0,3,349,2,2,10,0.187922,0.196246,77.924349,3.00E-06,3.00E-06,108,0.00023,0,0,0,0.001603,BOUNDARY OF ROP DOMAIN3 (BDR3),BOUNDARY OF ROP DOMAIN3 (BDR3),NA,"lipase, putative (DUF620);(source:Araport11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G27700,1556,NA,0,11,333,2,2,12,0.184902,0.209955,105.948581,0.015289,0.015289,3,0.000183,0,0,0,0.037343,,,NA,Syntaxin/t-SNARE family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28120,2100,NA,0,2,169,2,2,11,0.183893,0.191911,851.190965,3.40E-05,3.40E-05,108,0.000231,0,0,0,0.001777,OTU DOMAIN CONTAINING DUB 1 (OTU1),OTU DOMAIN CONTAINING DUB 1 (OTU1),NA,Deubiquitinase with preference towards M1 and K48 linkages.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28135,326,NA,0,4,156,3,3,10,0.203556,0.213309,1243.623166,1.20E-05,1.20E-05,4,0.000315,0,0,0,0.003736,,,NA,hypothetical protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28140,2184,NA,0,11,15,1,1,10,0.217565,0.242569,0,0.017268,0.017268,3,0.000115,0,0,0,0.043376,,,NA,integral membrane family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28230,1691,NA,0,11,15,2,2,10,0.223666,0.250801,29.554212,0.030821,0.030821,3,0.000168,0,0,0,0.076462,PURINE PERMEASE 1 (PUP1), (ATPUP1);PURINE PERMEASE 1 (PUP1),NULL,"Encodes a transporter that transports purines,cytokinins and other adenine derivatives. Expressed in the leaf hydathodes where it may be involved in re-uptake of cytokinins during guttation.",Organic Solute Cotransporters,NA,NA,transporter,transporter,transporter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28250,1082,NA,0,11,65,4,4,10,0.213242,0.240439,127.139264,0.034433,0.034433,3,0.000264,0,0.333333,2,0.084074,,,NA,transmembrane protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28360,488,NA,0,107,241,11,11,9,0.261759,0.284791,10619.89427,0.000378,0.000378,44,0.000796,0,0.054545,3,0.049664,ERF DOMAIN PROTEIN 12 (ERF12),ERF DOMAIN PROTEIN 12 (ERF12);ETHYLENE RESPONSE FACTOR12 (ERF12);ERF DOMAIN PROTEIN 12 (ATERF12),NA,"encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ERF12). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole. Regulates floral development.",NA,,ethylene,ethylene,ethylene,ethylene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0
AT1G28480,239,NA,0,64,135,4,4,9,0.241937,0.258293,3848.230589,9.30E-05,9.30E-05,9,0.000395,0,0,0,0.016152, (GRX480), (GRX480); (GRXC9); (roxy19),NA,"Encodes GRX480, a member of the glutaredoxin family that regulates protein redox state.  GRX480 interacts with TGA factors and suppresses JA-responsive PDF1.2 transcription.  GRX480 transcription is SA-inducible and requires NPR1.  Maybe involved in SA/JA cross-talk. It has also been shown to interact with the transcription factor TGA2 and suppress ORA59 promoter activity.",NA,,,Multi,Multi,"jasmonic acid,salicylic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0
AT1G28490,1476,NA,0,11,65,4,4,10,0.224589,0.252862,329.799121,0.029668,0.029668,3,0.000269,0,0,0,0.075421,SYNTAXIN OF PLANTS 61 (SYP61),SYNTAXIN OF PLANTS 61 (SYP61); (OSM1); (ATSYP61),SYP61,"Encodes SYP61, one of 24 Arabidopsis syntaxins. Its mRNA has been shown to be expressed. SYP61 and SYP121 coordinate the trafficking of plasma membrane aquaporin PIP2;7 to modulate the cell membrane water permeability.",SNAREs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G28710,1708,NA,0,11,15,1,1,10,0.217565,0.242569,0,0.017268,0.017268,3,0.000115,0,0,0,0.043376,,,NA,Nucleotide-diphospho-sugar transferase family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29120,171,NA,0,3,96,6,6,10,0.238062,0.252851,1368.011865,0.000184,0.000184,73,0.000426,0,0,0,0.018676,UP9 (UP9),UP9 (UP9),NA,Hydrolase-like protein family;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29195,1920,NA,0,253,558,2,2,10,0.238489,0.254373,934.153299,8.70E-05,8.70E-05,10,0.000208,0,0,0,0.014151,,,NA,PADRE protein up-regulated after infection by S. sclerotiorum.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29240,1450,NA,0,201,487,2,2,11,0.202419,0.222195,2487.442625,0.008733,0.008733,4,0.000217,0,0,0,0.021943,,,NA,"transcription initiation factor TFIID subunit, putative (DUF688);(source:Araport11)",NA,NA,NA,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29390,2258,NA,0,11,36,1,1,11,0.19985,0.220059,0,0.010791,0.010791,3,0.000108,0,0,0,0.025737,COLD REGULATED 314 THYLAKOID MEMBRANE 2 (COR314-TM2),COLD REGULATED 314 INNER MEMBRANE 2 (COR413IM2);COLD REGULATED 314 THYLAKOID MEMBRANE 2 (COR314-TM2),NA,Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29640,824,NA,0,9,354,4,4,10,0.256539,0.278882,4203.43679,0.000183,0.000183,6,0.000337,0,0,0,0.03298,,,NA,"senescence regulator (Protein of unknown function, DUF584);(source:Araport11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29680,2461,NA,0,18,121,3,3,10,0.238846,0.254856,3.808702,9.50E-05,9.50E-05,44,0.000283,0,0.666667,2,0.016167,,,NA,histone acetyltransferase (DUF1264);(source:Araport11),NA,NA,NA,NA,NA,histone modification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29800,1393,NA,0,114,258,1,1,11,0.187319,0.194616,0,2.20E-05,2.20E-05,73,0.000138,0,0,0,0.001344,,,NA,RING/FYVE/PHD-type zinc finger family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29810,1273,NA,0,30,413,1,1,10,0.224442,0.238186,0,1.00E-04,1.00E-04,4,0.000122,0,0,0,0.009158,,CELLULOSE SYNTHASE LIKE B5 (F1N18.100),NA,Transcriptional coactivator/pterin dehydratase;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29850,2210,NA,0,16,182,1,1,10,0.224737,0.236957,0,0.000965,0.000965,62,0.000113,0,0,0,0.009066,PROGRAMMED CELL DEATH PROTEIN 5 (PDCD5), (ATPDCD5);PROGRAMMED CELL DEATH PROTEIN 5 (PDCD5),NA,Encodes a protein that by its interaction with HAM acetyltransferases plays an important role during DNA damage responses induced by UV-B radiation and participates in programmed cell death programs.,NA,NA,NA,DNA repair,DNA repair,DNA repair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29900,1872,NA,0,247,550,1,1,1,1,1,0,0,0,92,0.00038,78,0,0,0.000493,CARBAMOYL PHOSPHATE SYNTHETASE B (CARB),CARBAMOYL PHOSPHATE SYNTHETASE B (CARB);CELLULOSE SYNTHASE LIKE B6 (CLSB6);VENOSA 3 (VEN3),NA,"Encodes carbamoyl phosphate synthetase (CPS) large subunit (CARB), also named as VEN3. Heterologous expression of the Arabidopsis VEN3 and VEN6 genes in a CPS-deficient Escherichia coli strain fully restored bacterial growth in minimal medium, demonstrating the enzymatic activity of the VEN3 and VEN6 proteins.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29910,2235,NA,0,69,149,1,1,10,0.237778,0.253182,0,8.60E-05,8.60E-05,44,0.000127,0,0,0,0.013224,CHLOROPHYLL A/B BINDING PROTEIN 3 (CAB3),LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2 (LHCB1.2); (AB180);CHLOROPHYLL A/B BINDING PROTEIN 3 (CAB3);CELLULOSE SYNTHASE LIKE B3 (CSLB3),NULL,member of Chlorophyll a/b-binding protein family,Chloroplast and Mitochondria gene families,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29980,2092,NA,0,222,512,1,1,10,0.197785,0.206496,0,0.000115,0.000115,3,0.000147,0,0,0,0.00156,,,NA,"choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642);(source:Araport11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G29990,120,NA,0,9,71,4,4,10,0.218319,0.230281,2674.050365,2.50E-05,2.50E-05,73,0.00038,0,0,0,0.005925,PREFOLDIN 6 (PFD6),PREFOLDIN 6 (PFD6),NA,"Encodes a cytoplastic protein with similarity to yeast prefoldin6, a subunit of the prefoldin complex. The PFD complex is thought to function along with the TCP ring complex to properly fold microtubule proteins.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30070,1312,NA,0,20,32,1,1,10,0.233168,0.250122,0,8.90E-05,8.90E-05,2,0.000132,0,0,0,0.014831,,,NA,SGS domain-containing protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30120,883,NA,0,158,371,6,6,10,0.240866,0.257569,7280.679421,0.000133,0.000133,44,0.000577,0,0,0,0.017486,PYRUVATE DEHYDROGENASE E1 BETA (PDH-E1 BETA),PYRUVATE DEHYDROGENASE E1 BETA (PDH-E1 BETA),NA,Encodes a putative plastid pyruvate dehydrogenase E1 beta subunit that is distinct from the mitochondrial pyruvate dehydrogenase E1 beta subunit.,NA,,,"Citrate cycle,Pyruvate metabolism,Glycolysis/Gluconeogenesis","Citrate cycle,Pyruvate metabolism,Glycolysis/Gluconeogenesis","Citrate cycle,Pyruvate metabolism,Glycolysis/Gluconeogenesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30135,376,NA,0,35,67,3,3,10,0.226117,0.239394,467.967844,5.80E-05,5.80E-05,108,0.000267,0,0.333333,1,0.00732,JASMONATE-ZIM-DOMAIN PROTEIN 8 (JAZ8), (tify5a);JASMONATE-ZIM-DOMAIN PROTEIN 8 (JAZ8),NA,jasmonate-zim-domain protein 8;(source:Araport11),NA,,jasmonic acid,jasmonic acid,jasmonic acid,jasmonic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30200,2339,NA,0,68,259,1,1,10,0.196615,0.206757,0,6.00E-06,6.00E-06,47,0.000147,0,0,0,0.003562,,,NA,F-box family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30260,1692,NA,0,76,164,2,2,10,0.229083,0.242298,1026.617928,6.50E-05,6.50E-05,74,0.000199,0,0,0,0.007692,,AGAMOUS-LIKE 79 (AGL79),NA,galactosyltransferase family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30270,1890,NA,0,14,19,2,2,11,0.197328,0.20717,141.298375,6.00E-06,6.00E-06,20,0.000213,0,0,0,0.002592,CBL-INTERACTING PROTEIN KINASE 23 (CIPK23),CBL-INTERACTING PROTEIN KINASE 23 (CIPK23);SNF1-RELATED PROTEIN KINASE 3.23 (SnRK3.23);SOS2-LIKE PROTEIN KINASE 17 (PKS17);LOW-K+-SENSITIVE 1 (LKS1); (ATCIPK23),AtCIPK23,"Arabidopsis thaliana CBL-interacting protein kinase 23.  CIPK23 serves as a positive regulator of the potassium transporter AKT1 by directly phosphorylating AKT1.  CIPK23 is activated by the binding of two calcineurin B-like proteins, CBL1 and CBL9. The mRNA is cell-to-cell mobile.",CBL-interacting serione-threonine Protein Kinases (AtCIPKs) ,,,multi,multi,"Stress,Abiotic_biotic_stimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1
AT1G30475,809,NA,0,82,187,2,2,11,0.169764,0.175179,2392,0,0,28,0.000352,0,0,0,0.001123,,,NA,hypothetical protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30480,2074,NA,0,268,578,1,1,1,1,1,0,0,0,104,0.00038,90,0,0,0.000493,DNA-DAMAGE-REPAIR/TOLERATION PROTEIN 111 (DRT111),SPLICING FACTOR FOR PHYTOCHROME SIGNALING (SFPS);REQUIRED FOR SNC4-1D 2 (RSN2);DNA-DAMAGE-REPAIR/TOLERATION PROTEIN 111 (DRT111),NA,recombination and DNA-damage resistance protein (DRT111),NA,NA,NA,DNA repair,DNA repair,DNA repair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G30500,311,NA,0,26,46,2,2,10,0.207708,0.21827,2405.058488,1.00E-05,1.00E-05,57,0.000243,0,0,0,0.003369,"NUCLEAR FACTOR Y, SUBUNIT A7 (NF-YA7)","NUCLEAR FACTOR Y, SUBUNIT A7 (NF-YA7)",NA,"nuclear factor Y, subunit A7;(source:Araport11)",NA,,,Transcription_factor,Transcription_factor,Transcription_factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0
